,question_id,question,relevant_articles,question_length,num_articles,relevant_titles
2274,6bf0250af4cb23186e06144f4d8c801f,"Mức phạt khi chiếm dụng dải phân cách giữa của đường đôi làm nơi để xe, trông, giữ xe","[{'law_id': '100/2019/nđ-cp', 'article_id': '12'}]",19,1,['100/2019/nđ-cp']
179,bcbbd4cc6d91597c795981817ec63db9,Quản lý giấy phép KCB trong quân đội được quy định như thế nào?,"[{'law_id': '50/2019/nđ-cp', 'article_id': '25'}]",14,1,['50/2019/nđ-cp']
834,e52eefaf37ff7b0f0a22fcfba78293c1,Nội dung của chính sách đồng quản lý rừng được quy định như thế nào?,"[{'law_id': '07/2012/qđ-ttg', 'article_id': '4'}]",15,1,['07/2012/qđ-ttg']
842,9b10a84c8dab51b8a2ae1100a399e773,Trưởng đoàn kiểm tra xử lý vi phạm hành chính ủy quyền cho cấp phó thực hiện nhiệm vụ của mình được không?,"[{'law_id': '19/2020/nđ-cp', 'article_id': '10'}]",23,1,['19/2020/nđ-cp']
2472,165bf4f69b7fefb100a2305bc8982dd1,"Từ tháng 7/2020, các trường của  cơ quan nhà nước sẽ thực hiện nhiệm vụ gì?","[{'law_id': '43/2019/qh14', 'article_id': '48'}]",17,1,['43/2019/qh14']
1075,29cef17c1a77db5bac3c14987c51fd4f,"Trách nhiệm của đơn vị đào tạo trực tiếp tại doanh nghiệp nhỏ và vừa  hoạt động trong lĩnh vực sản xuất, chế biến được quy định như thế nào?","[{'law_id': '49/2019/tt-btc', 'article_id': '9'}]",31,1,['49/2019/tt-btc']
1624,73315455ab70d7e53412418e8434c531,Thời gian trả lời hồ sơ về giống cây trồng và canh tác,"[{'law_id': '94/2019/nđ-cp', 'article_id': '2'}]",13,1,['94/2019/nđ-cp']
1037,21e72732508364d2bdb8ae7a979f73be,Chi phí điều tra tai nạn lao động hàng hải được quy định ra sao?,"[{'law_id': '37/2018/tt-blđtbxh', 'article_id': '11'}]",15,1,['37/2018/tt-blđtbxh']
340,03af707b7d5c2ffab7482f85e0e74540,"Điều lệ công ty, Quy chế nội bộ về quản trị công ty đại chúng được quy định như thế nào?","[{'law_id': '155/2020/nđ-cp', 'article_id': '270'}]",21,1,['155/2020/nđ-cp']
1583,2cdd78fe70c63fead7406715b08b7473,Cây đầu dòng là gì?,"[{'law_id': '30/2018/tt-bnnptnt', 'article_id': '3'}]",5,1,['30/2018/tt-bnnptnt']
1665,a734d99f16edcccc873f9a5cc3b33127,Thẩm định và trách nhiệm bảo đảm chất lượng chương trình giáo dục phổ thông được quy định như thế nào?,"[{'law_id': '43/2019/qh14', 'article_id': '31'}]",21,1,['43/2019/qh14']
748,25fe8d2d1b88f723a1a00b6672ccd1fc,Mức phạt khi điều khiển xe ô tô lùi xe ở đường một chiều được quy định như thế nào?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",20,1,['100/2019/nđ-cp']
1221,2bede979fbe6edaa6d3952d9faaaba2e,"Có được đọc, sử dụng thánh kinh trong trại giam không?","[{'law_id': '41/2019/qh14', 'article_id': '50'}]",11,1,['41/2019/qh14']
662,ab46c7373f9198c8b77e46097736c506,Đi làm 6 tháng có được xét danh hiệu chiến sĩ tiên tiến không?,"[{'law_id': '91/2017/nđ-cp', 'article_id': '10'}]",14,1,['91/2017/nđ-cp']
480,6ddc730cba0276893b6259cdd17e9401,Những vị trí làm việc nào mà công ty chứng khoán bắt buộc phải có?,"[{'law_id': '121/2020/tt-btc', 'article_id': '13'}]",15,1,['121/2020/tt-btc']
803,ad11699cd78a2d091aa9d8f1133ebdd7,Điều khiển xe ô tô gây tai nạn giao thông bỏ trốn không đến trình báo với cơ quan có thẩm quyền sẽ bị xử phạt bao nhiêu?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",28,1,['100/2019/nđ-cp']
2283,8285a16fceba6ca16b66e28474f064a8,"Ai thuộc đối tượng được xét tuyển vào đào tạo đại học, cao đẳng tại các trường Công an nhân dân?","[{'law_id': '15/2016/tt-bca', 'article_id': '10'}]",21,1,['15/2016/tt-bca']
1073,eefe4e656864fea740d85a7f70fffb48,Nội dung thẩm định tài liệu khai thác sân bay bao gồm những nội dung nào?,"[{'law_id': '05/2021/nđ-cp', 'article_id': '55'}]",16,1,['05/2021/nđ-cp']
1723,e0218f13df130ca2b092ac43b60fb4d8,Quy định hình thức sinh hoạt quân nhân dự bị được quy định như thế nào?,"[{'law_id': '84/2020/tt-bqp', 'article_id': '4'}]",16,1,['84/2020/tt-bqp']
2595,832b8c328e3c499eb440a8939745d3a8,"Xử lý vi phạm quy định về xử lý quà tặng cho cán bộ, công chức trái quy định được quy định như thế nào?","[{'law_id': '59/2019/nđ-cp', 'article_id': '28'}]",25,1,['59/2019/nđ-cp']
549,f32920c162f6cdb2f314bd74379064a9,Trường hợp nào thì nhà thầu thi công xây dựng có quyền từ chối bảo hành?,"[{'law_id': '06/2021/nđ-cp', 'article_id': '29'}]",16,1,['06/2021/nđ-cp']
1480,dd86ab2f1bc336245d216f1ef99afca6,Muốn bổ sung phạm vi hoạt động chuyên môn có phải xin cấp lại chứng chỉ hành nghề không?,"[{'law_id': '155/2018/nđ-cp', 'article_id': '11'}]",19,1,['155/2018/nđ-cp']
783,d8d69a747fa32ab6e260ff6982fdc9fa,Quy định về dấu định lượng theo quy định pháp luật,"[{'law_id': '21/2014/tt-bkhcn', 'article_id': '7'}]",11,1,['21/2014/tt-bkhcn']
2886,d739d788d6fbfacabef986d2e5989c56,Mức phạt đối với hành vi cản trở trái phép việc nghiên cứu khoa học sử dụng ngân sách nhà nướcđược quy định như thế nào?,"[{'law_id': '63/2019/nđ-cp', 'article_id': '33'}]",26,1,['63/2019/nđ-cp']
2906,ec77fb22788b485835be9bc0651f3de6,Phá hoại thông tin trên môi trường mạng bị xử phạt bao nhiêu tiền?,"[{'law_id': '15/2020/nđ-cp', 'article_id': '75'}]",14,1,['15/2020/nđ-cp']
742,5363cc795c6b35716d91a3de64184751,"Quy định về hồ sơ cấp Quyết định công nhận cây đầu dòng, Quyết định công nhận vườn cây đầu dòng","[{'law_id': '94/2019/nđ-cp', 'article_id': '9'}]",21,1,['94/2019/nđ-cp']
2573,ccd31dd10bca45a36f58e79dc606f14a,Ngày buộc dùng hóa đơn điện tử được quy định như thế nào?,"[{'law_id': '119/2018/nđ-cp', 'article_id': '35'}]",13,1,['119/2018/nđ-cp']
1978,0149d1b9a046fdbd30155b6eb49f0a68,Báo cáo thực hiện dịch vụ công ích thủy lợi theo phương thức đặt hàng là như thế nào?,"[{'law_id': '96/2018/nđ-cp', 'article_id': '19'}]",19,1,['96/2018/nđ-cp']
1953,26e9e575fb16b01e9fe8eabd11a7065f,Thế nào là ký gửi chứng khoán?,"[{'law_id': '119/2020/tt-btc', 'article_id': '2'}]",7,1,['119/2020/tt-btc']
965,bd3db3e3fd6cc064e1502de98f478c73,Trung tâm thương mại là gì?,"[{'law_id': '1371/2004/qđ-btm', 'article_id': '2'}]",6,1,['1371/2004/qđ-btm']
2271,b5e2f0b4cf8a85c8821c0ed565063d6f,"Bảo mật thông tin, dữ liệu, sản phẩm đo đạc và bản đồ được quy định như thế nào?","[{'law_id': '27/2019/nđ-cp', 'article_id': '20'}]",19,1,['27/2019/nđ-cp']
1933,9f1f8cb4e164b2c3fcde94d5d85f83c9,"Ai có trách nhiệm tổ chức sơ cứu, cấp cứu người bị tai nạn giao thông trên đường sắt?","[{'law_id': '23/2018/tt-bgtvt', 'article_id': '9'}]",19,1,['23/2018/tt-bgtvt']
2113,886959468a641b9caa053697718b3dea,"Các cơ sở giáo dục nào phải thực hiện báo cáo, thống kê ngành giáo dục?","[{'law_id': '24/2018/tt-bgdđt', 'article_id': '2'}]",16,1,['24/2018/tt-bgdđt']
3155,7e7cd21c03403927f235e8e5e9e3c1a0,Bao lâu thì được thanh toán BHXH 1 lần ?,"[{'law_id': '115/2015/nđ-cp', 'article_id': '8'}]",10,1,['115/2015/nđ-cp']
2718,d82e3b969cc2afbc9a532b686d0c3019,Mức phạt khi chạy xe máy gây tai nạn giao thông bỏ trốn không đến trình báo với cơ quan có thẩm quyền,"[{'law_id': '100/2019/nđ-cp', 'article_id': '6'}]",23,1,['100/2019/nđ-cp']
2880,7ab4d3b42a311c71216e1fe1472b032e,Khuyến nông là gì?,"[{'law_id': '83/2018/nđ-cp', 'article_id': '2'}]",4,1,['83/2018/nđ-cp']
247,8ef40935eb4c1c7ddd355a2f0f694787,Điểm khoáng sản là gì?,"[{'law_id': '42/2016/tt-btnmt', 'article_id': '3'}]",5,1,['42/2016/tt-btnmt']
871,16d0216535e63b657f8b683ac201d53d,"Khám, tư vấn về dinh dưỡng cho người bệnh ngoại trú về dinh dưỡng, tiết chế được quy định như thế nào?","[{'law_id': '08/2011/tt-byt', 'article_id': '1'}]",22,1,['08/2011/tt-byt']
1551,9893e0ed373c739f29945149e95c77e2,"Nhiệm vụ khảo sát xây dựng được sửa đổi, bổ sung trong những trường hợp nào?","[{'law_id': '15/2021/nđ-cp', 'article_id': '26'}]",16,1,['15/2021/nđ-cp']
1048,b368701017817ad74861d10616bcb78d,Quy định về giám sát việc tiêu hủy đối với thức ăn chăn nuôi vi phạm chất lượng,"[{'law_id': '13/2020/nđ-cp', 'article_id': '20'}]",18,1,['13/2020/nđ-cp']
2439,b8a26c69b8d5be96120a6c37b3328591,"Chủ tịch Hội đồng giải quyết sự cố, tai nạn giao thông đường sắt có nhiệm vụ là gì?","[{'law_id': '23/2018/tt-bgtvt', 'article_id': '3'}]",19,1,['23/2018/tt-bgtvt']
2899,bb1e6407a4c8256c64ac10954d5480a9,Việc thanh toán tiền thi hành án của Thừa phát lại được quy định thế nào?,"[{'law_id': '08/2020/nđ-cp', 'article_id': '59'}]",16,1,['08/2020/nđ-cp']
626,aa314f67fc76a0939f8637516abfa0eb,Hiệp hội công chứng viên Việt Nam không báo cáo định kỳ phạt bao nhiêu?,"[{'law_id': '82/2020/nđ-cp', 'article_id': '17'}]",15,1,['82/2020/nđ-cp']
347,76bbe7179ee3b09a77908d2f04be6568,"Ban Chỉ đạo Quốc gia chống buôn lậu, gian lận thương mại và hàng giả có trách nhiệm gì trong việc tiêu hủy thuốc lá ngoại nhập lậu?","[{'law_id': '20/2018/qđ-ttg', 'article_id': '6'}]",28,1,['20/2018/qđ-ttg']
278,4ebdc69a747070042239965d25e9a176,Văn bản thỏa thuận tham gia chương trình hưu trí bổ sung tự nguyện tại doanh nghiệp được quy định như thế nào?,"[{'law_id': '19/2018/tt-blđtbxh', 'article_id': '3'}]",23,1,['19/2018/tt-blđtbxh']
2260,dbd6241e9a60b607eff2b4e7e0e2aff1,"Việc đề cử, ứng cử thành viên Hội đồng quản trị của công ty đại chúng được quy định thế nào?","[{'law_id': '54/2019/qh14', 'article_id': '41'}]",21,1,['54/2019/qh14']
3091,c0e3c1e8114fad27129d6a784cf29459,Phát hành hồ sơ mời thầu dự án đầu tư có sử dụng đất được quy định như thế nào?,"[{'law_id': '25/2020/nđ-cp', 'article_id': '51'}]",20,1,['25/2020/nđ-cp']
655,4869a48871d865b075c9b4303b8903b9,Đo bóc theo diện tích sàn xây dựng đối với công trình dân dụng và công nghiệp được quy định như thế nào?,"[{'law_id': '17/2019/tt-bxd', 'article_id': '6'}]",23,1,['17/2019/tt-bxd']
1392,e339e5fb53ed070e12c1b993274faed0,Cấp lại chứng chỉ hành nghề xây dựng hết hạn có cần thi lý thuyết không?,"[{'law_id': '08/2018/tt-bxd', 'article_id': '3'}]",16,1,['08/2018/tt-bxd']
979,c2d8749e7543de6c5c0cfbc9ca04e699,"Việc báo tin, xử lý tin báo và lập hồ sơ vụ việc sự cố giao thông đường sắt đô thị được thực hiện như thế nào?","[{'law_id': '23/2018/tt-bgtvt', 'article_id': '24'}]",27,1,['23/2018/tt-bgtvt']
1055,622bc7154b047caf05ea48832dd0ff6c,Nghĩa vụ và quyền của anh chị em trong gia đình ?,"[{'law_id': '52/2014/qh13', 'article_id': '105'}]",12,1,['52/2014/qh13']
907,73ce02be04f748d63981a022284d46c4,Có được kê biên vốn góp của pháp nhân thương mại không?,"[{'law_id': '44/2020/nđ-cp', 'article_id': '23'}]",12,1,['44/2020/nđ-cp']
2868,de00302e10bb27641188b7cf7c9c34cc,"Vị trí, mục tiêu môn học giáo dục quốc phòng an ninh theo quy định pháp luật?","[{'law_id': '40/2012/tt-bgdđt', 'article_id': '2'}]",17,1,['40/2012/tt-bgdđt']
2756,b7dcb0efd720779a6ae15e7f427ea41a,"Việc bán trực tiếp tài sản trang bị khi kết thúc nhiệm vụ khoa học và công nghệ cho tổ chức, cá nhân chủ trì được quy định ra sao?","[{'law_id': '70/2018/nđ-cp', 'article_id': '7'}]",30,1,['70/2018/nđ-cp']
3085,e964c79a480698afab8fe8629e143de1,"Thời điểm nhận hồ sơ đề nghị công nhận danh hiệu thi đua, hình thức khen thưởng cấp Nhà nước được quy định như thế nào?","[{'law_id': '21/2020/tt-bgdđt', 'article_id': '8'}]",26,1,['21/2020/tt-bgdđt']
911,ec47291371d3c647a65f8c45e9d0929c,Chủ đầu tư có trách nhiệm gì trong việc giải quyết sự cố công trình xây dựng?,"[{'law_id': '06/2021/nđ-cp', 'article_id': '45'}]",17,1,['06/2021/nđ-cp']
1957,11e1a46880e50003ee65a734abdb559e,Hiệu trưởng liệu có được xử phạt học sinh vi phạm an toàn giao thông hay không?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '74'}]",17,1,['100/2019/nđ-cp']
632,41392269e1997b47c1f8cee16f420d79,Mức phạt hành vi điều khiển xe máy khi có sương mù mà không bật đèn,"[{'law_id': '100/2019/nđ-cp', 'article_id': '6'}]",16,1,['100/2019/nđ-cp']
1127,52e8d6e33776244a54d657e89a9e1488,Mức phạt đối với hành vi phân phối hàng dự trữ quốc gia không đúng đối tượng theo quy định được quy định như thế nào?,"[{'law_id': '63/2019/nđ-cp', 'article_id': '44'}]",26,1,['63/2019/nđ-cp']
445,dce6abc11213438a7180925093782c0c,Điều kiện để công ty TNHH do doanh nghiệp nhà nước đầu tư 100% vốn điều lệ được quy định như thế nào?,"[{'law_id': '126/2017/nđ-cp', 'article_id': '4'}]",23,1,['126/2017/nđ-cp']
617,9a3ba43cf1df9c0380700b0bf41e8301,Phổ biến văn bản quy phạm pháp luật của Bộ Công thương được quy định như thế nào?,"[{'law_id': '19/2018/tt-bct', 'article_id': '43'}]",18,1,['19/2018/tt-bct']
1398,7e6e2966f24f0476b0d96d02741fa4d9,Chỉ bị thiệt hại về tinh thần thì có được xem là người bị hại trong vụ án hình sự không?,"[{'law_id': '101/2015/qh13', 'article_id': '62'}]",21,1,['101/2015/qh13']
2213,f442739746d82b20c5c2b9f7c991a7cc,"Đối tượng nào được cấp giấy thông hành nhập xuất cảnh sang các tỉnh, thành phố biên giới của Trung Quốc tiếp giáp Việt Nam?","[{'law_id': '43/2011/tt-bca', 'article_id': '2'}]",25,1,['43/2011/tt-bca']
1477,c135c6ee476cbed1046b1ed7913f1065,Một số trường hợp xử lý tài sản loại trừ đã tiếp nhận được quy định như thế nào?,"[{'law_id': '55/2019/tt-btc', 'article_id': '7'}]",19,1,['55/2019/tt-btc']
1877,23416b73f817f06bf1de24480e6292f8,"Trách nhiệm đánh giá, xếp loại chất lượng hàng năm đối với người quản lý DN nhà nước được quy định như thế nào?","[{'law_id': '159/2020/nđ-cp', 'article_id': '9'}]",24,1,['159/2020/nđ-cp']
2720,22e0f80f1bf16b1ac048aaded9f5eea7,"Ai có trách nhiệm lập, thẩm định dự án thành lập khu bảo tồn đất ngập nước cấp tỉnh?","[{'law_id': '66/2019/nđ-cp', 'article_id': '14'}]",19,1,['66/2019/nđ-cp']
1080,0cf099d969541a40ebe20325e5f6b5a2,Hồ sơ thành lập quán karaoke bao gồm những gì?,"[{'law_id': '54/2019/nđ-cp', 'article_id': '10'}]",10,1,['54/2019/nđ-cp']
1432,bd2e14d54cb2d8f39652406415c7facf,"Cơ chế, chính sách về đầu tư xây dựng bến xe khách được quy định ra sao?","[{'law_id': '12/2015/qđ-ttg', 'article_id': '5'}]",17,1,['12/2015/qđ-ttg']
353,57a8706684b6dde44950c528db1666a6,Hoạt động đặc thù của hợp tác xã nông nghiệp được quy định như thế nào?,"[{'law_id': '06/2019/tt-bnnptnt', 'article_id': '3'}]",16,1,['06/2019/tt-bnnptnt']
613,19777322be9c9760015af0879334bdf6,"Mức phạt đối với hành vi lấn, chiếm rừng phòng hộ có diện tích từ 4.000 m2 đến dưới 6.000 m2 được quy định như thế nào?","[{'law_id': '35/2019/nđ-cp', 'article_id': '7'}]",27,1,['35/2019/nđ-cp']
1721,c933fc2767c77a1af5264b79ef7a3d4e,Định nghĩa thu nhập từ thù lao giám đốc theo Hiệp định tránh đánh thuế hai lần được quy định như thế nào?,"[{'law_id': '205/2013/tt-btc', 'article_id': '32'}]",23,1,['205/2013/tt-btc']
1720,b4fcd4aabbb73d37068eeab540b9b951,Mức phạt hành vi dựng biển quảng cáo trên đất hành lang an toàn đường bộ khi chưa được phép,"[{'law_id': '100/2019/nđ-cp', 'article_id': '12'}]",20,1,['100/2019/nđ-cp']
2003,530f070a14cb23e1b6f23e98d2b08e80,Trách nhiệm của Bộ Lao động - Thương binh và Xã hội trong tổ chức và hoạt động của Quỹ đầu tư phát triển địa phương như thế nào?,"[{'law_id': '147/2020/nđ-cp', 'article_id': '52'}]",29,1,['147/2020/nđ-cp']
57,06c5f6e00e04dce47b0369e5b7af6881,Mức phạt đối với hành vi xây dựng chương trình đào tạo các trình độ của giáo dục đại học không đúng quy định là bao nhiêu?,"[{'law_id': '04/2021/nđ-cp', 'article_id': '11'}]",27,1,['04/2021/nđ-cp']
2941,4029b0bdfc94d3356e457a6b2edcb749,Đơn vị báo cáo thống kê ngành giáo dục có trách nhiệm gì?,"[{'law_id': '24/2018/tt-bgdđt', 'article_id': '4'}]",13,1,['24/2018/tt-bgdđt']
1385,f6525c969d0f400f1d2bb9e929a74471,"Người làm công tác kiểm soát nội bộ, kiểm toán nội bộ NHNN là ai?","[{'law_id': '06/2020/tt-nhnn', 'article_id': '3'}]",15,1,['06/2020/tt-nhnn']
2341,bdb8632d97fd440b7801ed912392a169,Làm sao để xác định tháng hưởng bảo hiểm thất nghiệp?,"[{'law_id': '38/2013/qh13', 'article_id': '50'}]",11,1,['38/2013/qh13']
3006,c845b89c2b073071c3f82d5580554728,Chế độ báo cáo công dân Việt Nam ra nước ngoài học tập được quy định như thế nào?,"[{'law_id': '05/2013/qđ-ttg', 'article_id': '5'}]",19,1,['05/2013/qđ-ttg']
2221,fc047260a83df4166916d1667c5f6636,"Việc xử lý tin báo về sự cố, tai nạn giao thông đường sắt đô thị được quy định như thế nào?","[{'law_id': '23/2018/tt-bgtvt', 'article_id': '22'}]",22,1,['23/2018/tt-bgtvt']
1706,4c0d215f76bfcac0a2d100443c09ec17,Nhiệm vụ khoa học và công nghệ đột xuất Bộ Tài nguyên và Môi trường được quy định như thế nào?,"[{'law_id': '26/2018/tt-btnmt', 'article_id': '17'}]",21,1,['26/2018/tt-btnmt']
1820,bb6b2b88099ac02ad059e8337df2ba52,Hợp đồng nghiên cứu khoa học và phát triển công nghệ là gì?,"[{'law_id': '37/2010/tt-byt', 'article_id': '2'}]",13,1,['37/2010/tt-byt']
1228,d03e2d50d29f280c1eda91dc2477e5b1,Bộ phận một cửa của UBND xã phải được bố trí những trang thiết bị nào?,"[{'law_id': '61/2018/nđ-cp', 'article_id': '13'}]",16,1,['61/2018/nđ-cp']
1575,2b753059804bbb36c9eca2131a35b942,Thân khoáng sản là gì?,"[{'law_id': '42/2016/tt-btnmt', 'article_id': '3'}]",5,1,['42/2016/tt-btnmt']
1181,559d3c13dffde748750bd152e02ede71,Xử phạt như thế nào đối với nạn đinh tặc?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '11'}]",10,1,['100/2019/nđ-cp']
560,5850629ab5a097718ef3d73a9e2c7dae,Quan hệ công tác của Chủ tịch phường với Tổ dân phố ở TP HCM được quy định như thế nào?,"[{'law_id': '33/2021/nđ-cp', 'article_id': '28'}]",21,1,['33/2021/nđ-cp']
707,58f722bbc7874573658dab38567e02f6,"Phân bổ, giao dự toán ngân sách nhà nước chi dự trữ quốc gia năm 2019 được quy định như thế nào?","[{'law_id': '119/2018/tt-btc', 'article_id': '3'}]",22,1,['119/2018/tt-btc']
2684,9fa765badccbb8c91e0efc5f8bad02c8,Mức phạt khi ngồi về một bên điều khiển xe máy,"[{'law_id': '100/2019/nđ-cp', 'article_id': '6'}]",11,1,['100/2019/nđ-cp']
424,a88471c392707df71e4ff1533ccf79f6,"Dự phòng bảo hành sản phẩm, hàng hóa, dịch vụ, công trình xây dựng là gì?","[{'law_id': '48/2019/tt-btc', 'article_id': '2'}]",16,1,['48/2019/tt-btc']
647,a0fbbb509e82f6e7a321732ec6bb0dc8,03 hành vi bị cấm khi sử dụng cơ sở dữ liệu hộ tịch điện tử được quy định như thế nào?,"[{'law_id': '87/2020/nđ-cp', 'article_id': '5'}]",22,1,['87/2020/nđ-cp']
2907,25d5e8c2752d4ee32dbd7e0704c41d98,Giải quyết khiếu nại về kết luận chất lượng thuốc được quy định như thế nào tại Luật dược 2005?,"[{'law_id': '34/2005/qh11', 'article_id': '70'}]",20,1,['34/2005/qh11']
1359,4271af48f2a5cb1c93a84b25843e3417,Doanh nghiệp kinh doanh kết cấu hạ tầng đường sắt chịu trách nhiệm gì trong việc quản lý lối đi tự mở?,"[{'law_id': '65/2018/nđ-cp', 'article_id': '13'}]",22,1,['65/2018/nđ-cp']
1689,4520b6b49bb0c34a8544b576d17ca52c,"Quản lý, sử dụng, kê khai tài sản công tại Cơ quan Việt Nam ở nước ngoài được thực hiện như thế nào?","[{'law_id': '07/2020/tt-btc', 'article_id': '12'}]",23,1,['07/2020/tt-btc']
1113,0756ed4bcff506bf99f9fabbd0532727,"Năm 2020, mức phạt cho hành vi quẹt chân chống xuống đường được quy định như thế nào?","[{'law_id': '100/2019/nđ-cp', 'article_id': '6'}]",18,1,['100/2019/nđ-cp']
1005,0bf0032d2e1266ad0916aa06d4f493e7,Thẩm quyền chủ trì tổ chức giám định nguyên nhân sự cố công trình xây dựng được quy định như thế nào?,"[{'law_id': '06/2021/nđ-cp', 'article_id': '46'}]",22,1,['06/2021/nđ-cp']
620,e1d4e9c2dcfb3d926fa67ef7298677ed,Mặt trận Tổ quốc Việt Nam và cộng đồng có trách nhiệm thế nào đối với hoạt động đầu tư theo phương thức PPP?,"[{'law_id': '64/2020/qh14', 'article_id': '88'}]",24,1,['64/2020/qh14']
1373,5a6c8ed5d198867e4c764cff0a2695c2,Nguyên tắc bổ nhiệm và xếp lương theo chức danh nghề nghiệp viên chức chuyên ngành công nghệ thông tin được quy định như thế nào?,"[{'law_id': '29/2020/tt-btttt', 'article_id': '3'}]",26,1,['29/2020/tt-btttt']
553,5eac9d1fa1fca2aaa72c6ba9336ac3ce,Điều khiển xe ô tô không đi bên phải theo chiều đi sẽ bị xử phạt bao nhiêu?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",18,1,['100/2019/nđ-cp']
2839,26423739afb2d4c4dc4b3f7a67bd19fa,Mức phạt khi điều khiển xe ô tô kinh doanh vận tải hành khách có kích thước hầm xe không đúng thiết kế của nhà sản xuất,"[{'law_id': '100/2019/nđ-cp', 'article_id': '16'}]",27,1,['100/2019/nđ-cp']
1600,6fd838d8b85f9e65276a4349aaf9b2af,"Không quan trắc từ 50% đến dưới 75% các thông số phải quan trắc, giám sát tài nguyên nước bị phạt thế nào?","[{'law_id': '36/2020/nđ-cp', 'article_id': '8'}]",23,1,['36/2020/nđ-cp']
998,c95390faac6cb56fcb6511b1f2c9130c,Phụ huynh có phải nộp tiền mua đồng phục cho học sinh ở trường tư thục không?,"[{'law_id': '26/2009/tt-bgdđt', 'article_id': '9'}]",17,1,['26/2009/tt-bgdđt']
3009,c9546a75f1e5132348dac62b7204f8d5,Quy tắc hình thành mã định danh của cơ sở giáo dục trên Hệ thống cơ sở dữ liệu ngành được quy định như thế nào?,"[{'law_id': '26/2019/tt-bgdđt', 'article_id': '6'}]",26,1,['26/2019/tt-bgdđt']
1497,461f6c2a41b8de0c957e8ce7e430783e,Rượu nhập khẩu và rượu sản xuất trong nước được dán tem ở vị trí nào?,"[{'law_id': '15/2020/tt-btc', 'article_id': '3'}]",16,1,['15/2020/tt-btc']
2925,2b7fd8209871f2a207c08517727ee05d,Mục đích lồng ghép vấn đề bình đẳng giới trong xây dựng văn bản quy phạm pháp luật được quy định như thế nào?,"[{'law_id': '17/2014/tt-btp', 'article_id': '2'}]",24,1,['17/2014/tt-btp']
3178,2653da15a2889a736a5f45c8ccba335c,"Việc đàm phán, hoàn thiện hợp đồng đối với dự án đầu tư có sử dụng đất dựa trên cơ sở nào?","[{'law_id': '25/2020/nđ-cp', 'article_id': '58'}]",22,1,['25/2020/nđ-cp']
2843,52f6ef39651e9f5aefe2dc0aea4a53d2,Các trường hợp cơ sở KCB bị đình chỉ hoạt động chuyên môn trong quân đội được quy định như thế nào?,"[{'law_id': '50/2019/nđ-cp', 'article_id': '30'}]",22,1,['50/2019/nđ-cp']
440,38e2cfc415e9619ec4678722d78a4560,Nhiệm vụ của Hội đồng tư vấn chuyên môn đánh giá nguyên nhân tai biến nặng trong quá trình sử dụng vắc xin cấp Bộ được quy định như thế nào?,"[{'law_id': '24/2018/tt-byt', 'article_id': '2'}]",31,1,['24/2018/tt-byt']
508,a41257b1760ca0eefab60a915f3e9be3,Người tập sự trợ giúp pháp lý được bào chữa cho bị cáo tại Tòa không?,"[{'law_id': '11/2017/qh14', 'article_id': '20'}]",16,1,['11/2017/qh14']
589,d3702064bcb8e318df0bff86cd6a104d,Mức phạt đối với hành vi không thực hiện công khai về tổ chức quản lý cơ sở giáo dục là bao nhiêu?,"[{'law_id': '04/2021/nđ-cp', 'article_id': '7'}]",23,1,['04/2021/nđ-cp']
2901,319bd4ad7cef3c1b8256de04d5a66f60,Đang tạm giam có được khi không phải người thân không?,"[{'law_id': '94/2015/qh13', 'article_id': '3'}, {'law_id': '94/2015/qh13', 'article_id': '22'}]",11,2,"['94/2015/qh13', '94/2015/qh13']"
649,56373199f980880026cbfbed541b3613,Người nhận cầm cố có được cho thuê tài sản cầm cố không?,"[{'law_id': '91/2015/qh13', 'article_id': '314'}]",13,1,['91/2015/qh13']
2215,5d52d7a55ce1e9c928edeb96ad683bc5,Mức phạt đối với hành vi chuyển mục đích sử dụng rừng sản xuất có diện tích từ 800 m2 đến dưới 1.400 m2 không đúng quy định được quy định như thế nào?,"[{'law_id': '35/2019/nđ-cp', 'article_id': '12'}]",34,1,['35/2019/nđ-cp']
1713,e9efc5d34af71ebbc1fd1dbf85b88b4d,Tòa gửi quyết định rút ngắn thời gian thử thách trong thời gian bao lâu?,"[{'law_id': '41/2019/qh14', 'article_id': '65'}]",15,1,['41/2019/qh14']
1351,7bd24857ac51bbe386b67a170d3de855,Nhiệm vụ của người học hoạt động thể thao trong nhà trường được quy định như thế nào?,"[{'law_id': '48/2020/tt-bgdđt', 'article_id': '7'}]",18,1,['48/2020/tt-bgdđt']
1370,d8a960e94775057ad9c37f35f6113fca,Mức phạt khi điều khiển xe kéo rơ moóc kéo thêm vật khác là bao nhiêu?,"[{'law_id': '100/2019/nđ-cp', 'article_id': '5'}]",16,1,['100/2019/nđ-cp']
2663,a73cd9e030a1c24f7a5d80577dec5aa2,Quy định về quy trình lựa chọn nhà thầu mua vé máy bay cho các đoàn đi công tác quốc tế,"[{'law_id': '17/2019/qđ-ttg', 'article_id': '4'}]",21,1,['17/2019/qđ-ttg']
